timestamp,pdb_id,removed_chain_id,reason,source,status
2026-08-20T00:15:45,28IL,C,B2M,step7,removed
2026-08-20T00:15:45,7DZM,B,B2M,step7,removed
2026-08-20T00:15:45,7NDT,F,Copy from asymmetric unit (chain E),step7,removed
2026-08-20T00:15:46,7NUI,B,B2M,step7,removed
2026-08-20T00:15:46,8DV3,B,B2M,step7,removed
2026-08-20T00:15:46,9F13,D,B2M,step7,removed
2026-08-20T00:15:46,9NW9,B,B2M,step7,removed
2026-08-20T00:15:46,9O06,F,Copy of TCR from another copy,step7,removed
2026-08-20T00:15:46,9Y0T,D,B2M,not_found,source_not_found
2026-08-20T00:15:46,9Y0U,F,Copy of TCR from another copy,step7,removed
2026-08-20T00:15:46,9Y0W,F,Copy of TCR from another copy,step7,removed
2026-09-03T21:51:31,28IL,C,B2M,step7,removed
2026-09-03T21:51:31,7DZM,B,B2M,step7,removed
2026-09-03T21:51:31,7NDT,F,Copy from asymmetric unit (chain E),step7,removed
2026-09-03T21:51:31,7NUI,B,B2M,step7,removed
2026-09-03T21:51:31,8DV3,B,B2M,step7,removed
2026-09-03T21:51:31,9F13,D,B2M,step7,removed
2026-09-03T21:51:31,9NW9,B,B2M,step7,removed
2026-09-03T21:51:31,9O06,F,Copy of TCR from another copy,step7,removed
2026-09-03T21:51:31,9Y0T,D,B2M,not_found,source_not_found
2026-09-03T21:51:31,9Y0U,F,Copy of TCR from another copy,step7,removed
2026-09-03T21:51:31,9Y0W,F,Copy of TCR from another copy,step7,removed
2026-09-03T22:54:08,9O06,F,Copy of TCR from another copy,step7,removed
2026-09-03T23:41:18,7OKV,,"step8_modeled_loop introduced an unregistered chain B with blacklisted residue R16 (never present in step5-step7); dropped, matches step7 (chain A only)",step8+step7_reconciled,reconciled
2026-09-03T23:41:18,9OHZ,,"step8_modeled_loop kept chain C (same coords/resseq) but genericized the ligand resname CB9 (A1CB9 CCD) to a placeholder 'LIG' and zeroed occupancy; restored the correctly-named/occupancy chain C from step7 (chain set was already correct, only resname/occupancy were corrupted)",step8+step7_reconciled,reconciled
